State,Year,Month,NDVI
Uttar Pradesh,2011,1,0.48645170201249704
Haryana,2011,1,0.5580211413478098
Punjab,2011,1,0.6319608244804731
Rajasthan,2011,1,0.32506826805978395
Chandigarh,2011,1,0.36644559836112184
Uttar Pradesh,2011,2,0.59874939084138
Haryana,2011,2,0.6905815422688543
Punjab,2011,2,0.7261789529769885
Rajasthan,2011,2,0.3363843349250864
Chandigarh,2011,2,0.3890762881978034
Uttar Pradesh,2011,3,0.48911607382914984
Haryana,2011,3,0.5715873905653759
Punjab,2011,3,0.649732556252471
Rajasthan,2011,3,0.25553738432688144
Chandigarh,2011,3,0.3894423679081545
Uttar Pradesh,2011,4,0.27773409426261036
Haryana,2011,4,0.25258703846822655
Punjab,2011,4,0.3043007032439133
Rajasthan,2011,4,0.18357218919762014
Chandigarh,2011,4,0.3602994092499854
Uttar Pradesh,2011,5,0.29117372983429063
Haryana,2011,5,0.21773981151591537
Punjab,2011,5,0.2435614841254363
Rajasthan,2011,5,0.17054263376048556
Chandigarh,2011,5,0.3467756145791837
Uttar Pradesh,2011,6,0.3620529885559857
Haryana,2011,6,0.2700299792518877
Punjab,2011,6,0.3114600768866646
Rajasthan,2011,6,0.18819483884473706
Chandigarh,2011,6,0.44008461453650494
Uttar Pradesh,2011,7,0.4539532865289705
Haryana,2011,7,0.4561894231243259
Punjab,2011,7,0.5797534368038877
Rajasthan,2011,7,0.30753558666260505
Chandigarh,2011,7,0.5287146894383428
Uttar Pradesh,2011,8,0.6062982654932721
Haryana,2011,8,0.6364482494044891
Punjab,2011,8,0.7408961985304959
Rajasthan,2011,8,0.4451368820747774
Chandigarh,2011,8,0.5546012871308256
Uttar Pradesh,2011,9,0.588172488202472
Haryana,2011,9,0.5627700065673762
Punjab,2011,9,0.6261340898824617
Rajasthan,2011,9,0.4331234592033325
Chandigarh,2011,9,0.49673114579184036
Uttar Pradesh,2011,10,0.4861296456218714
Haryana,2011,10,0.40527702606468047
Punjab,2011,10,0.4043021068231502
Rajasthan,2011,10,0.32498471847685123
Chandigarh,2011,10,0.42563990212257424
Uttar Pradesh,2011,11,0.38757981146263093
Haryana,2011,11,0.32905676741975615
Punjab,2011,11,0.33977055939929035
Rajasthan,2011,11,0.29760453955986416
Chandigarh,2011,11,0.3801798547487625
Uttar Pradesh,2011,12,0.4071665727346091
Haryana,2011,12,0.42415561315219175
Punjab,2011,12,0.4999698386264301
Rajasthan,2011,12,0.3014304882366393
Chandigarh,2011,12,0.37246096106242516
Uttar Pradesh,2012,1,0.5456873689055837
Haryana,2012,1,0.5725501030868427
Punjab,2012,1,0.6294860618283962
Rajasthan,2012,1,0.31387116665498777
Chandigarh,2012,1,0.3660882475957434
Uttar Pradesh,2012,2,0.5730337098484349
Haryana,2012,2,0.6383851918917318
Punjab,2012,2,0.6948237047072233
Rajasthan,2012,2,0.305636024503406
Chandigarh,2012,2,0.3510407948272918
Uttar Pradesh,2012,3,0.4282957316253983
Haryana,2012,3,0.5524637716545069
Punjab,2012,3,0.6374457910093697
Rajasthan,2012,3,0.24146606240786891
Chandigarh,2012,3,0.3370910722415064
Uttar Pradesh,2012,4,0.287691121793322
Haryana,2012,4,0.27698147245666915
Punjab,2012,4,0.35758815174424907
Rajasthan,2012,4,0.19446589684946194
Chandigarh,2012,4,0.35624756515677447
Uttar Pradesh,2012,5,0.26073016246413355
Haryana,2012,5,0.18678289886128932
Punjab,2012,5,0.23069874691833964
Rajasthan,2012,5,0.1786637639512693
Chandigarh,2012,5,0.30538193286576015
Uttar Pradesh,2012,6,0.26925958854061677
Haryana,2012,6,0.1915065833704191
Punjab,2012,6,0.23241301495268074
Rajasthan,2012,6,0.17397643465095639
Chandigarh,2012,6,0.2773985286376828
Uttar Pradesh,2012,7,0.4269233066826978
Haryana,2012,7,0.3589862510635297
Punjab,2012,7,0.5286813507719138
Rajasthan,2012,7,0.22392483072027627
Chandigarh,2012,7,0.46571358369373445
Uttar Pradesh,2012,8,0.5978425374521428
Haryana,2012,8,0.606419123029655
Punjab,2012,8,0.7315246026522848
Rajasthan,2012,8,0.37793895496781893
Chandigarh,2012,8,0.5609360581574009
Uttar Pradesh,2012,9,0.6031680381079332
Haryana,2012,9,0.6006585997525516
Punjab,2012,9,0.6550731040725067
Rajasthan,2012,9,0.43712508714223625
Chandigarh,2012,9,0.5246315960564502
Uttar Pradesh,2012,10,0.45662141886554847
Haryana,2012,10,0.39160229580810463
Punjab,2012,10,0.41051066168035666
Rajasthan,2012,10,0.30436960317733885
Chandigarh,2012,10,0.45369117431571127
Uttar Pradesh,2012,11,0.38362710919621346
Haryana,2012,11,0.3117214356130977
Punjab,2012,11,0.3276194538643693
Rajasthan,2012,11,0.2799986001799399
Chandigarh,2012,11,0.3963802492713552
