State,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
Chandigarh,2011 - 2012,600,2725,4.54
Chandigarh,2012 - 2013,575,2590,4.5
Chandigarh,2013 - 2014,575,2600,4.52
Chandigarh,2014 - 2015,550,2500,4.55
Chandigarh,2015 - 2016,550,2530,4.6
Chandigarh,2016 - 2017,550,2585,4.7
Chandigarh,2017 - 2018,546,2566,4.7
Chandigarh,2018 - 2019,546,2730,5
Chandigarh,2019 - 2020,546,2457,4.5
Chandigarh,2020 - 2021,547,2735,5
Chandigarh,2021 - 2022,547,2735,5
Chandigarh,2022 - 2023,547,2735,5
Haryana,2011 - 2012,87061,423000,4.86
Haryana,2012 - 2013,87168,366000,4.2
Haryana,2013 - 2014,86000,398000,4.63
Haryana,2014 - 2015,88000,322000,3.66
Haryana,2015 - 2016,174000,797000,4.58
Haryana,2016 - 2017,87000,392000,4.51
Haryana,2017 - 2018,87200,405600,4.65
Haryana,2018 - 2019,88000,418000,4.75
Haryana,2019 - 2020,90900,380100,4.18
Haryana,2020 - 2021,93890,475080,5.06
Haryana,2021 - 2022,87884,360940,4.11
Haryana,2022 - 2023,88860,412220,4.64
Haryana,2011 - 2012,151368,650000,4.29
Haryana,2012 - 2013,162442,657000,4.04
Haryana,2013 - 2014,167000,706000,4.23
Haryana,2014 - 2015,219000,843000,3.85
Haryana,2015 - 2016,181000,714000,3.94
Haryana,2016 - 2017,180000,778000,4.32
Haryana,2017 - 2018,117400,507700,4.32
Haryana,2018 - 2019,113000,500000,4.42
Haryana,2019 - 2020,107400,449600,4.19
Haryana,2020 - 2021,116330,493120,4.24
Haryana,2021 - 2022,86914,371210,4.27
Haryana,2022 - 2023,90640,371410,4.1
Haryana,2017 - 2018,54800,225600,4.12
Haryana,2018 - 2019,54600,273000,5
Haryana,2019 - 2020,50100,228900,4.57
Haryana,2020 - 2021,5090,25390,4.99
Haryana,2021 - 2022,33188,136870,4.12
Haryana,2022 - 2023,37690,137940,3.66
Haryana,2011 - 2012,30475,150000,4.92
Haryana,2012 - 2013,31055,141000,4.54
Haryana,2013 - 2014,30000,140000,4.67
Haryana,2014 - 2015,28000,93000,3.32
Haryana,2015 - 2016,100000,399000,3.99
Haryana,2016 - 2017,30000,141000,4.7
Haryana,2017 - 2018,30000,133600,4.45
Haryana,2018 - 2019,29600,152000,5.14
Haryana,2019 - 2020,30700,128800,4.2
Haryana,2020 - 2021,30660,103320,3.37
Haryana,2021 - 2022,28646,112180,3.92
Haryana,2022 - 2023,28440,117700,4.14
Haryana,2011 - 2012,189331,1034000,5.46
Haryana,2012 - 2013,188020,880000,4.68
Haryana,2013 - 2014,189000,1005000,5.32
Haryana,2014 - 2015,190000,923000,4.86
Haryana,2015 - 2016,189000,858000,4.54
Haryana,2016 - 2017,189000,995000,5.26
Haryana,2017 - 2018,188200,1013200,5.38
Haryana,2018 - 2019,187200,1008000,5.38
Haryana,2019 - 2020,191900,931500,4.85
Haryana,2020 - 2021,189790,955970,5.04
Haryana,2021 - 2022,184207,859330,4.67
Haryana,2022 - 2023,182260,936570,5.14
Haryana,2011 - 2012,52388,258000,4.92
Haryana,2012 - 2013,44667,205000,4.59
Haryana,2013 - 2014,48000,215000,4.48
Haryana,2014 - 2015,49000,155000,3.16
Haryana,2015 - 2016,50000,215000,4.3
Haryana,2016 - 2017,48000,224000,4.67
Haryana,2017 - 2018,43000,211000,4.91
Haryana,2018 - 2019,43000,213000,4.95
Haryana,2019 - 2020,40600,205600,5.06
Haryana,2020 - 2021,41830,198320,4.74
Haryana,2021 - 2022,36086,168630,4.67
Haryana,2022 - 2023,33640,151340,4.5
Haryana,2011 - 2012,237072,1208000,5.1
Haryana,2012 - 2013,231555,987000,4.26
Haryana,2013 - 2014,226000,1012000,4.48
Haryana,2014 - 2015,230000,961000,4.18
Haryana,2015 - 2016,226000,1050000,4.65
Haryana,2016 - 2017,226000,1075000,4.76
Haryana,2017 - 2018,223900,1100400,4.91
Haryana,2018 - 2019,221100,1096000,4.96
Haryana,2019 - 2020,224300,1022800,4.56
Haryana,2020 - 2021,231250,1149780,4.97
Haryana,2021 - 2022,206860,960660,4.64
Haryana,2022 - 2023,208130,1038630,4.99
Haryana,2011 - 2012,98419,481000,4.89
Haryana,2012 - 2013,95856,377000,3.93
Haryana,2013 - 2014,98000,442000,4.51
Haryana,2014 - 2015,114000,421000,3.69
Haryana,2015 - 2016,111000,430000,3.87
Haryana,2016 - 2017,93000,473000,5.09
Haryana,2017 - 2018,106200,494300,4.65
Haryana,2018 - 2019,105200,501000,4.76
Haryana,2019 - 2020,106600,512600,4.81
Haryana,2020 - 2021,102140,462800,4.53
Haryana,2021 - 2022,80310,353360,4.4
Haryana,2022 - 2023,94710,412490,4.36
Haryana,2011 - 2012,216610,1136000,5.24
Haryana,2012 - 2013,215979,922000,4.27
Haryana,2013 - 2014,217000,987000,4.55
Haryana,2014 - 2015,219000,799000,3.65
Haryana,2015 - 2016,91000,408000,4.48
Haryana,2016 - 2017,194000,944000,4.87
Haryana,2017 - 2018,216300,1091600,5.05
Haryana,2018 - 2019,215000,1127000,5.24
