Date,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,ALLSKY_SFC_SW_DWN,RH2M,WS2M,Month,Year,Season,State
2011-01-01,10.64,18.69,5.96,0.0,7.2,64.42,1.39,1,2011,Rabi,Punjab
2011-01-02,9.23,18.72,2.09,0.0,5.45,60.85,1.53,1,2011,Rabi,Punjab
2011-01-03,8.55,17.39,2.22,0.0,3.98,50.88,1.28,1,2011,Rabi,Punjab
2011-01-04,7.92,17.4,1.15,0.0,8.59,49.18,1.38,1,2011,Rabi,Punjab
2011-01-05,7.62,18.64,-0.02,0.0,6.24,45.59,1.57,1,2011,Rabi,Punjab
2011-01-06,8.8,20.53,0.5,0.0,4.87,41.73,1.48,1,2011,Rabi,Punjab
2011-01-07,10.56,20.8,2.15,0.0,5.7,35.77,1.37,1,2011,Rabi,Punjab
2011-01-08,10.2,18.86,4.95,0.0,7.56,38.45,1.05,1,2011,Rabi,Punjab
2011-01-09,10.1,19.71,3.84,0.0,7.71,41.89,1.29,1,2011,Rabi,Punjab
2011-01-10,9.47,20.06,2.32,0.0,9.81,47.06,1.77,1,2011,Rabi,Punjab
2011-01-11,10.23,20.31,2.78,0.0,9.83,40.18,1.63,1,2011,Rabi,Punjab
2011-01-12,12.26,21.66,5.8,0.0,11.37,37.48,1.21,1,2011,Rabi,Punjab
2011-01-13,14.28,22.73,7.93,0.0,10.45,37.6,0.95,1,2011,Rabi,Punjab
2011-01-14,13.86,22.3,9.02,1.37,8.01,54.06,2.45,1,2011,Rabi,Punjab
2011-01-15,11.61,19.41,6.5,0.08,8.8,60.7,2.03,1,2011,Rabi,Punjab
2011-01-16,9.05,18.69,1.37,0.0,13.56,42.01,2.03,1,2011,Rabi,Punjab
2011-01-17,10.28,19.11,3.34,0.0,5.93,43.75,1.61,1,2011,Rabi,Punjab
2011-01-18,11.91,20.64,6.49,0.0,14.08,43.68,1.71,1,2011,Rabi,Punjab
2011-01-19,10.73,20.99,3.45,0.0,14.88,48.39,2.03,1,2011,Rabi,Punjab
2011-01-20,13.0,20.53,5.61,0.02,7.54,32.74,0.8,1,2011,Rabi,Punjab
2011-01-21,14.1,22.6,7.56,0.03,13.63,40.76,1.52,1,2011,Rabi,Punjab
2011-01-22,13.99,22.19,8.89,0.0,12.5,45.21,1.51,1,2011,Rabi,Punjab
2011-01-23,13.95,22.89,7.72,0.0,15.35,36.95,1.31,1,2011,Rabi,Punjab
2011-01-24,13.06,21.25,5.94,0.0,14.73,37.64,1.18,1,2011,Rabi,Punjab
2011-01-25,12.93,20.99,7.29,0.0,14.27,34.15,0.91,1,2011,Rabi,Punjab
2011-01-26,11.93,20.72,6.25,0.01,14.04,38.67,1.13,1,2011,Rabi,Punjab
2011-01-27,11.59,21.5,4.38,0.0,13.7,42.81,1.79,1,2011,Rabi,Punjab
2011-01-28,12.86,22.18,6.17,0.0,12.43,33.52,1.04,1,2011,Rabi,Punjab
2011-01-29,12.3,19.02,8.14,0.0,11.28,41.72,1.07,1,2011,Rabi,Punjab
2011-01-30,13.35,21.46,6.96,0.0,12.5,56.18,1.3,1,2011,Rabi,Punjab
2011-01-31,13.78,22.27,8.87,0.0,14.95,53.65,1.49,1,2011,Rabi,Punjab
2011-02-01,14.25,24.24,6.46,0.0,14.82,49.91,1.59,2,2011,Rabi,Punjab
2011-02-02,15.61,25.02,6.91,0.0,14.24,40.69,1.33,2,2011,Rabi,Punjab
2011-02-03,17.57,27.51,9.94,0.0,12.28,38.84,1.45,2,2011,Rabi,Punjab
2011-02-04,18.53,27.83,11.58,0.0,10.69,40.73,1.05,2,2011,Rabi,Punjab
2011-02-05,19.12,28.05,13.28,0.0,13.52,39.55,1.26,2,2011,Rabi,Punjab
2011-02-06,18.2,25.22,13.61,0.05,8.62,48.24,2.92,2,2011,Rabi,Punjab
2011-02-07,15.93,21.0,10.93,5.4,5.34,71.84,2.48,2,2011,Rabi,Punjab
2011-02-08,14.39,23.02,8.93,0.0,17.76,60.24,1.51,2,2011,Rabi,Punjab
2011-02-09,13.99,24.07,5.51,0.0,16.52,43.61,1.62,2,2011,Rabi,Punjab
2011-02-10,15.12,23.91,9.24,0.0,13.55,36.14,1.52,2,2011,Rabi,Punjab
2011-02-11,13.88,23.13,8.2,0.0,11.49,38.24,1.66,2,2011,Rabi,Punjab
2011-02-12,15.77,23.57,9.13,0.14,8.27,42.83,1.6,2,2011,Rabi,Punjab
2011-02-13,15.6,20.37,12.94,3.41,4.48,62.84,0.84,2,2011,Rabi,Punjab
2011-02-14,17.02,23.92,11.28,0.86,10.08,65.21,1.83,2,2011,Rabi,Punjab
2011-02-15,14.2,18.07,11.01,4.55,9.91,83.58,1.52,2,2011,Rabi,Punjab
2011-02-16,13.99,20.5,9.69,6.46,10.26,72.96,1.26,2,2011,Rabi,Punjab
2011-02-17,13.93,21.41,8.25,0.07,16.85,57.18,1.52,2,2011,Rabi,Punjab
2011-02-18,14.02,21.39,6.92,0.08,15.22,49.44,1.34,2,2011,Rabi,Punjab
2011-02-19,15.84,23.73,9.91,0.09,13.39,44.7,1.08,2,2011,Rabi,Punjab
2011-02-20,15.39,24.57,9.47,1.68,9.03,56.64,2.14,2,2011,Rabi,Punjab
2011-02-21,14.1,23.43,7.34,0.0,16.31,64.01,1.56,2,2011,Rabi,Punjab
2011-02-22,16.48,25.02,9.9,0.0,12.91,44.27,0.85,2,2011,Rabi,Punjab
2011-02-23,15.73,23.72,9.56,0.13,7.79,49.95,1.23,2,2011,Rabi,Punjab
2011-02-24,15.87,22.9,10.62,0.0,16.13,52.29,1.24,2,2011,Rabi,Punjab
2011-02-25,16.14,23.95,9.44,1.49,9.89,53.46,1.22,2,2011,Rabi,Punjab
2011-02-26,15.21,20.41,11.3,3.63,15.18,62.4,1.29,2,2011,Rabi,Punjab
2011-02-27,15.84,24.25,8.96,0.0,18.84,50.24,1.57,2,2011,Rabi,Punjab
2011-02-28,16.1,25.59,8.43,0.15,12.17,44.36,2.29,2,2011,Rabi,Punjab
2011-03-01,15.61,22.55,11.21,1.2,11.88,59.73,2.02,3,2011,Rabi,Punjab
2011-03-02,16.21,22.12,9.95,1.36,7.43,60.44,0.98,3,2011,Rabi,Punjab
2011-03-03,17.48,22.92,13.53,1.17,10.4,64.73,1.07,3,2011,Rabi,Punjab
2011-03-04,17.75,25.63,12.03,0.02,11.32,61.6,1.04,3,2011,Rabi,Punjab
2011-03-05,17.74,27.45,9.83,0.09,15.37,44.28,1.65,3,2011,Rabi,Punjab
2011-03-06,18.25,27.97,11.02,0.0,20.67,41.49,2.17,3,2011,Rabi,Punjab
2011-03-07,18.98,29.3,11.58,0.0,17.32,41.84,2.3,3,2011,Rabi,Punjab
2011-03-08,19.74,28.88,12.42,0.0,20.8,43.86,2.21,3,2011,Rabi,Punjab
2011-03-09,19.58,27.95,12.83,0.03,21.43,41.03,0.96,3,2011,Rabi,Punjab
2011-03-10,20.13,27.7,13.18,0.0,21.14,36.41,1.07,3,2011,Rabi,Punjab
2011-03-11,20.24,30.18,13.04,0.0,21.54,33.01,1.87,3,2011,Rabi,Punjab
2011-03-12,21.39,30.71,12.76,0.0,20.71,29.63,1.51,3,2011,Rabi,Punjab
2011-03-13,22.49,32.61,14.51,0.0,21.58,28.89,1.69,3,2011,Rabi,Punjab
2011-03-14,24.21,33.0,16.58,0.0,22.0,29.15,1.36,3,2011,Rabi,Punjab
2011-03-15,24.11,35.25,13.47,0.0,22.41,31.68,1.19,3,2011,Rabi,Punjab
2011-03-16,24.8,34.77,17.27,0.0,20.41,30.09,1.48,3,2011,Rabi,Punjab
2011-03-17,26.94,37.21,17.25,0.0,13.51,30.17,1.28,3,2011,Rabi,Punjab
2011-03-18,25.77,34.99,18.09,0.0,17.19,32.89,2.39,3,2011,Rabi,Punjab
2011-03-19,25.01,34.14,18.24,0.0,14.14,29.96,2.8,3,2011,Rabi,Punjab
2011-03-20,24.19,33.98,17.24,0.01,22.25,21.96,1.77,3,2011,Rabi,Punjab
2011-03-21,22.4,33.21,14.93,0.0,22.19,26.8,2.18,3,2011,Rabi,Punjab
2011-03-22,23.25,34.01,14.43,0.0,23.99,22.64,1.7,3,2011,Rabi,Punjab
2011-03-23,24.59,35.5,15.34,0.0,23.6,22.59,1.33,3,2011,Rabi,Punjab
2011-03-24,25.1,34.64,15.98,0.22,23.65,24.74,1.32,3,2011,Rabi,Punjab
2011-03-25,26.23,35.61,18.31,0.0,23.57,22.19,1.42,3,2011,Rabi,Punjab
2011-03-26,27.84,36.95,19.16,0.0,22.94,22.07,1.64,3,2011,Rabi,Punjab
2011-03-27,28.15,37.85,20.25,0.0,22.42,24.86,1.7,3,2011,Rabi,Punjab
2011-03-28,28.37,38.12,19.37,0.11,17.3,26.19,2.47,3,2011,Rabi,Punjab
2011-03-29,26.19,35.37,18.23,1.45,21.4,32.73,1.99,3,2011,Rabi,Punjab
2011-03-30,24.75,33.69,16.67,1.39,23.76,38.15,1.51,3,2011,Rabi,Punjab
2011-03-31,25.19,34.7,16.82,0.0,24.63,27.53,1.91,3,2011,Rabi,Punjab
2011-04-01,26.19,34.99,17.84,0.02,23.4,24.08,1.51,4,2011,Rabi,Punjab
2011-04-02,26.19,34.39,17.91,0.39,23.71,23.37,1.49,4,2011,Rabi,Punjab
2011-04-03,23.48,32.22,16.37,2.95,25.03,36.49,2.26,4,2011,Rabi,Punjab
2011-04-04,23.91,32.47,15.46,0.0,24.76,24.21,1.37,4,2011,Rabi,Punjab
2011-04-05,24.99,34.64,15.73,0.0,21.83,20.46,2.05,4,2011,Rabi,Punjab
2011-04-06,24.17,31.76,18.37,0.0,16.11,24.87,1.47,4,2011,Rabi,Punjab
2011-04-07,24.22,32.22,16.4,0.0,24.7,23.78,1.97,4,2011,Rabi,Punjab
2011-04-08,25.56,34.85,16.32,0.0,24.69,17.36,1.34,4,2011,Rabi,Punjab
2011-04-09,26.72,35.37,17.96,0.0,15.99,16.78,1.49,4,2011,Rabi,Punjab
2011-04-10,22.46,28.55,19.33,0.49,14.41,41.85,2.71,4,2011,Rabi,Punjab
2011-04-11,24.38,31.06,18.63,0.29,9.86,37.41,1.29,4,2011,Rabi,Punjab
2011-04-12,26.44,35.55,17.77,0.0,19.98,41.34,1.86,4,2011,Rabi,Punjab
