rank,feature,mean_abs_shap
1,f49,0.5777213120143044
2,f43,0.2258017975576007
3,f44,0.219857217539234
4,f7,0.1355700086968219
5,f1,0.025009627097328745
6,f2,0.021737764486529546
7,f5,0.020157084812139365
8,f0,0.01794064077488527
9,f8,0.01168783278050293
10,f48,0.009424480003139736
11,f21,0.009354118116440295
12,f56,0.008278468470700538
13,f52,0.006451968667928738
14,f47,0.006406819968234178
15,f60,0.0059938012887035845
16,f4,0.0049989373076170405
17,f3,0.004320796696956866
18,f12,0.0037395714868993526
19,f6,0.0035375764979584047
20,f42,0.0023430602472476964
21,f9,0.00044145174772246585
22,f40,0.0
23,f41,0.0
24,f45,0.0
25,f46,0.0
26,f55,0.0
27,f50,0.0
28,f51,0.0
29,f53,0.0
30,f54,0.0
31,f38,0.0
32,f57,0.0
33,f58,0.0
34,f59,0.0
35,f61,0.0
36,f62,0.0
37,f39,0.0
38,f32,0.0
39,f37,0.0
40,f36,0.0
41,f10,0.0
42,f11,0.0
43,f13,0.0
44,f14,0.0
45,f15,0.0
46,f16,0.0
47,f17,0.0
48,f18,0.0
49,f19,0.0
50,f20,0.0
51,f22,0.0
52,f23,0.0
53,f24,0.0
54,f25,0.0
55,f26,0.0
56,f27,0.0
57,f28,0.0
58,f29,0.0
59,f30,0.0
60,f31,0.0
61,f33,0.0
62,f34,0.0
63,f35,0.0
64,f63,0.0
