rain_multiplier,temp_offset_c,stress_label,mean_predicted_yield,change_from_baseline_pct
0.4,0.0,rain×0.4_temp+0.0°C,4.0724,1.4717
0.4,2.0,rain×0.4_temp+2.0°C,4.0636,1.2528
0.4,4.0,rain×0.4_temp+4.0°C,4.072,1.4632
0.4,6.0,rain×0.4_temp+6.0°C,4.0721,1.4647
0.6,0.0,rain×0.6_temp+0.0°C,4.0477,0.8576
0.6,2.0,rain×0.6_temp+2.0°C,4.0425,0.7279
0.6,4.0,rain×0.6_temp+4.0°C,4.051,0.9383
0.6,6.0,rain×0.6_temp+6.0°C,4.051,0.9398
0.8,0.0,rain×0.8_temp+0.0°C,4.0263,0.3223
0.8,2.0,rain×0.8_temp+2.0°C,4.0244,0.2769
0.8,4.0,rain×0.8_temp+4.0°C,4.0328,0.485
0.8,6.0,rain×0.8_temp+6.0°C,4.0329,0.4865
1.0,0.0,rain×1.0_temp+0.0°C,4.0133,0.0
1.0,2.0,rain×1.0_temp+2.0°C,4.0135,0.0038
1.0,4.0,rain×1.0_temp+4.0°C,4.0217,0.2099
1.0,6.0,rain×1.0_temp+6.0°C,4.0218,0.2114
