variable,perturbation,perturbation_type,mean_predicted_yield,std_predicted_yield,mean_change_pct
PRECTOTCORR,0.4,multiplier,4.0724,0.7126,1.4717
PRECTOTCORR,0.5,multiplier,4.056,0.6993,1.0645
PRECTOTCORR,0.6,multiplier,4.0477,0.6929,0.8576
PRECTOTCORR,0.7,multiplier,4.0457,0.6907,0.8062
PRECTOTCORR,0.8,multiplier,4.0263,0.684,0.3223
PRECTOTCORR,0.9,multiplier,4.0222,0.6803,0.2201
PRECTOTCORR,1.0,multiplier,4.0133,0.6704,0.0
PRECTOTCORR,1.1,multiplier,4.0134,0.6705,0.0007
PRECTOTCORR,1.2,multiplier,4.0118,0.6692,-0.0389
PRECTOTCORR,1.3,multiplier,4.0114,0.6687,-0.0486
PRECTOTCORR,1.4,multiplier,4.0113,0.6688,-0.0497
PRECTOTCORR,1.5,multiplier,4.0098,0.6684,-0.0878
PRECTOTCORR,1.6,multiplier,4.0098,0.6684,-0.0885
T2M,-6.0,additive_celsius,4.051,0.6367,0.9389
T2M,-5.0,additive_celsius,4.051,0.6367,0.9389
T2M,-4.0,additive_celsius,4.051,0.6367,0.9389
T2M,-3.0,additive_celsius,4.0516,0.6365,0.9526
T2M,-2.0,additive_celsius,4.0386,0.6477,0.6302
T2M,-1.0,additive_celsius,4.0161,0.6694,0.0693
T2M,0.0,additive_celsius,4.0133,0.6704,0.0
T2M,1.0,additive_celsius,4.0088,0.6756,-0.1124
T2M,2.0,additive_celsius,4.0135,0.6741,0.0038
T2M,3.0,additive_celsius,4.0195,0.6769,0.1531
T2M,4.0,additive_celsius,4.0217,0.6774,0.2099
T2M,5.0,additive_celsius,4.0218,0.6775,0.2114
T2M,6.0,additive_celsius,4.0218,0.6775,0.2114
NDVI_anomaly,-0.3,additive,4.0133,0.6704,0.0
NDVI_anomaly,-0.25,additive,4.0133,0.6704,0.0
NDVI_anomaly,-0.2,additive,4.0133,0.6704,0.0
NDVI_anomaly,-0.15,additive,4.0133,0.6704,0.0
NDVI_anomaly,-0.1,additive,4.0133,0.6704,0.0
NDVI_anomaly,-0.05,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.0,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.05,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.1,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.15,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.2,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.25,additive,4.0133,0.6704,0.0
NDVI_anomaly,0.3,additive,4.0133,0.6704,0.0
